,Accuracy,Precision,Recall,Specificity,F1,AUC,MCC
MLP,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Stacking,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Logistic Regression,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Random Forest,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GBDT,1.0,1.0,1.0,1.0,1.0,1.0,1.0
XGBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
LightGBM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
SVM,1.0,1.0,1.0,1.0,1.0,1.0,1.0
AdaBoost,1.0,1.0,1.0,1.0,1.0,1.0,1.0
KNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Naive Bayes,0.8435114503816794,0.8688524590163934,0.8091603053435115,0.8778625954198473,0.8379446640316206,0.8949653283608182,0.6886500387556949
